id_article,surtitre,titre,soustitre,id_rubrique,descriptif,chapo,texte,ps,date,statut,id_secteur,maj,export,date_redac,visites,referers,popularite,accepter_forum,date_modif,lang,langue_choisie,id_trad,nom_site,url_site,virtuel,ph,hm,lt,va,re,input_2,input_1,cgps
1,"",a,"",2,"","","{{nyo tii-ro roo paa Nokôéékèè a}}
la pirogue sombre vers là-bas à Nokôéékèè là

{{nyââ a kué péla}}
maman ici mange du pain

{{Aya Truauru bééawé ko-iiyè mï-kwa}}
Ici à Touaourou, il n'y a pas de poisson mï-kwa









","",2024-06-13 00:06:58,publie,1,2024-11-24 23:30:25,oui,0000-00-00 00:00:00,0,0,0,pos,2024-11-24 23:30:25,fr,non,0,"","","",[ɑ],"","","a, éa, aya",ici ; là,"","déictique ici, là",déict.
2,"",a,"",2,"","","{{nè ba viéé a nè ba buamè nôôdè-é}}
ils se battent et ils matraquent ces gens








","",2024-06-13 00:08:23,publie,1,2024-11-24 23:31:08,oui,0000-00-00 00:00:00,0,0,0,pos,2024-11-24 23:31:08,fr,non,0,"","","",[ɑ],"","","a, éa, aya",ici ; là,"",coordonnant,coord.
3,"",a(-),"",2,"","","{{a-küü-xïï}}
propriétaire terrien (lt. ""qui-possède-endroit"")

{{a-mworo}}
les vivants (lt. ""qui-vit"")

{(cf) ngâ(-)}


","",2024-06-13 00:13:06,publie,1,2024-11-16 22:09:55,oui,0000-00-00 00:00:00,0,0,0,pos,2024-11-16 22:09:55,fr,non,0,"","","",[ɑ],"","","","","",marque l'argent,préf. agent
4,"",acî,"",2,"","","","",2024-06-13 00:19:48,publie,1,2024-11-24 23:31:36,oui,0000-00-00 00:00:00,0,0,0,pos,2024-11-24 23:31:36,fr,non,0,"","","",[ ɑcĩ ],"","","",donner,"",donne ! (familier),v.i.
5,"",acé-ro,"",2,"","","{{gu kiié acéro ?}}
tu manges déjà ?

{{nê kii acéro}}
ils ont déjà mangé






","",2024-06-13 00:21:05,publie,1,2024-11-16 22:21:49,oui,0000-00-00 00:00:00,0,0,0,pos,2024-11-16 22:21:49,fr,non,0,"","","",[ɑceɽo],"","",acoro,"","",déjà,adv.
6,"",âdèrè,"",2,"","","[[{{xi]] ngè vè-ro âdèrè ri}}
le poulpe va près de lui


","",2024-06-13 00:21:47,publie,1,2024-11-16 22:31:55,oui,0000-00-00 00:00:00,0,0,0,pos,2024-11-16 22:31:55,fr,non,0,"","","",[],"","","","","","préposition stative ""près de, à côté de""",prép.
7,"",Âdèrè-daa,"",2,"","","","",2024-06-13 00:22:32,publie,1,2024-10-28 05:30:51,oui,0000-00-00 00:00:00,0,0,0,pos,2024-10-28 05:30:51,fr,non,0,"","","",[],"",Âdèrè-daa «gens-récif»,"","","","nom de clan, gens du récif frangeant",n.p.
8,"",Adraamè,"",2,"","","","",2024-06-13 00:22:52,publie,1,2024-06-17 06:26:38,oui,0000-00-00 00:00:00,0,0,0,pos,2024-06-17 06:26:38,fr,non,0,"","","",[],"","",Draamè,"","",prénom masculin,n.p.
9,"",âgaa,"",2,"","","{{âgaa nyââ ?}}
où est maman ?


{{âgaa Kétré ?}}
où est Kétré ?

{{âgaa koo-véé o ?}}
où est ton champ?

{{âgaa vii ?}}
où ça en est ? où en est le travail ? où en est l'affaire ?

{{âgaa kô-to-jo ?}}
où en est la marée ?

{{âgaa nââ yoo ?}}
c'est quoi l'air du chant ?













","",2024-06-13 00:24:55,publie,1,2024-11-21 10:49:51,oui,0000-00-00 00:00:00,0,0,0,pos,2024-11-21 10:49:51,fr,non,0,"","","",[],"","","",où ; quoi,"",où ? c'est où ? c'est quoi ? qu'en est-il ?,mot inter.
10,"",âgècè,"",2,"","","","",2024-06-13 00:25:25,publie,1,2024-11-16 22:35:02,oui,0000-00-00 00:00:00,0,0,0,pos,2024-11-16 22:35:02,fr,non,0,"","","",[],"","","agésé, angésé, ngê-angècè",foulard;serviette,"",foulard ; serviette,n.c.
11,"",âgécia,"",2,"","","","",2024-06-13 00:26:27,publie,1,2024-06-17 06:26:17,oui,0000-00-00 00:00:00,0,0,0,pos,2024-06-17 06:26:17,fr,non,0,"","","",[],"","","",chant,"",chant,""
12,"",Akapo,"",2,"","","","",2024-06-13 00:26:52,publie,1,2024-06-17 06:26:09,oui,0000-00-00 00:00:00,0,0,0,pos,2024-06-17 06:26:09,fr,non,0,"","","",[],"","",Draamè,"","",nom de famille de Wao,n.p.
13,"",amêrê,"",2,"","","","",2024-06-13 00:27:21,publie,1,2024-11-24 23:35:13,oui,0000-00-00 00:00:00,0,0,0,pos,2024-11-24 23:35:13,fr,non,0,"","","",[],"","","","","",toponyme : l'un des deux îlots situés dans la réserve de pêche de la tribu de Goro,n.p.
14,"",aa na da taa sio,"",2,"","","","",2024-06-13 00:27:43,publie,1,2024-06-13 00:27:43,oui,0000-00-00 00:00:00,0,0,0,pos,2024-06-13 00:27:36,fr,non,0,"","","",[],"","","","","","",interj.
15,"",anè,"",2,"","","{{gu ba barié vii ngê go ro nîî iè o anè ?}}
tu m'as désobéi, n'est-ce pas ?



","",2024-06-13 00:28:16,publie,1,2024-06-17 06:25:47,oui,0000-00-00 00:00:00,0,0,0,pos,2024-06-17 06:25:47,fr,non,0,"","","",[],"","","","","","mot interrogatif ""n'est-ce pas ?""",mot inter.
16,"",anîîjo,"",2,"","","Epinephelus caerulepunctatus (Bloch), Serranidés

","",2024-06-13 00:29:30,publie,1,2024-11-25 01:49:51,oui,0000-00-00 00:00:00,0,0,0,pos,2024-11-25 01:49:51,fr,non,0,"","","",[],"","","","","","poisson, loche noire à points blancs",n.c.
17,"",angêtoro,"",2,"","","{{angêtoro nyî ro wè mwâpwùù-cîîbu}}
depuis ce jour, le rat a une queue


","",2024-06-13 00:30:02,publie,1,2024-06-17 06:24:22,oui,0000-00-00 00:00:00,0,0,0,pos,2024-06-17 06:24:22,fr,non,0,"","","",[],"","","",désormais,"","désormais, depuis ce jour",adv.
18,"",Angwéréré,"",2,"","","","",2024-06-13 00:30:20,publie,1,2024-11-24 23:36:37,oui,0000-00-00 00:00:00,0,0,0,pos,2024-11-24 23:36:37,fr,non,0,"","","",[],"","","","","","clan des protecteurs de la chefferie de Goro, considéré comme la «°barrière du Chef°». Clan pécheur et détenteur de la magie du beau temps.",n.p.
19,"",apoa,"",2,"","","","",2024-06-13 00:30:38,publie,1,2024-11-25 01:50:45,oui,0000-00-00 00:00:00,0,0,0,pos,2024-11-25 01:50:45,fr,non,0,"","","",[],"","","","","",danse de guerre,n.c.
20,"",arèngê,"",2,"","","{{xéénu-xi ro driinê arèngê}}
les dents du poulpe sont noirs maintenant

{{nyî tété kô dra Truauru arèngê}}
il se met debout sur la terre de Truauru maintenant





","",2024-06-13 00:31:39,publie,1,2024-11-25 01:51:33,oui,0000-00-00 00:00:00,0,0,0,pos,2024-11-25 01:51:33,fr,non,0,"","","",[],"","","",maintenant,"",maintenant ; tout de suite,adv.
21,"",ariju,"",2,"","","{{dru déé o ariju}}
tes deux oranges

{{ariju a môô}}
orange acide




","",2024-06-13 00:32:25,publie,1,2024-11-25 01:54:41,oui,0000-00-00 00:00:00,0,0,0,pos,2024-11-25 01:54:41,fr,non,0,"","","",[],"","","",orange,"",emprunt « orange »,n.c.
